Source,Target,Weight
Elchuiuical,Identidad y subjetividad,0.005569713405751986
Gonzalo Fonseca,Identidad y subjetividad,0.003459314432074638
Gonzalo Goette,Identidad y subjetividad,0.004381687898686379
Julián Serrano,Identidad y subjetividad,0.010373500534773388
Lionel Ferro,Identidad y subjetividad,0.004103999225136134
Lucas Castel,Identidad y subjetividad,0.006271759389830618
Mariano Bondar,Identidad y subjetividad,0.008378053061471016
Mica Suárez,Identidad y subjetividad,0.007893444428966978
Elchuiuical,Extimidad e intimidad compartida,0.0023455566349930733
Gonzalo Fonseca,Extimidad e intimidad compartida,0.0002626423285913224
Gonzalo Goette,Extimidad e intimidad compartida,0.0012871099565675325
Julián Serrano,Extimidad e intimidad compartida,0.0066962347798523334
Lionel Ferro,Extimidad e intimidad compartida,0.0015459214049992696
Lucas Castel,Extimidad e intimidad compartida,0.0018226461630469208
Mariano Bondar,Extimidad e intimidad compartida,0.0017287265510592571
Mica Suárez,Extimidad e intimidad compartida,0.0016140842713782833
Elchuiuical,Familia y vínculos afectivos,0.0011071428571428573
Gonzalo Fonseca,Familia y vínculos afectivos,0.002363676088081354
Gonzalo Goette,Familia y vínculos afectivos,0.0024345047048773332
Julián Serrano,Familia y vínculos afectivos,0.004202333982742409
Lionel Ferro,Familia y vínculos afectivos,0.003729970027343379
Lucas Castel,Familia y vínculos afectivos,0.005301268512575916
Mariano Bondar,Familia y vínculos afectivos,0.004270819959573581
Mica Suárez,Familia y vínculos afectivos,0.007328258086054159
Elchuiuical,Amistad y comunidad,0.006260271267405078
Gonzalo Fonseca,Amistad y comunidad,0.008118626382150582
Gonzalo Goette,Amistad y comunidad,0.018462402132657103
Julián Serrano,Amistad y comunidad,0.009750569487521774
Lionel Ferro,Amistad y comunidad,0.010957527182539293
Lucas Castel,Amistad y comunidad,0.010508884023545443
Mariano Bondar,Amistad y comunidad,0.014892679117820934
Mica Suárez,Amistad y comunidad,0.014075578615720083
Elchuiuical,"Amor, pareja y sexualidad",0.0011769143932000323
Gonzalo Fonseca,"Amor, pareja y sexualidad",0.001868914105594807
Gonzalo Goette,"Amor, pareja y sexualidad",0.012197489570600479
Julián Serrano,"Amor, pareja y sexualidad",0.002837973827956301
Lionel Ferro,"Amor, pareja y sexualidad",0.0035706229611983053
Lucas Castel,"Amor, pareja y sexualidad",0.0011041117164969278
Mariano Bondar,"Amor, pareja y sexualidad",0.0023369870314737164
Mica Suárez,"Amor, pareja y sexualidad",0.003946783475193073
Elchuiuical,Vida cotidiana,0.006137356932640512
Gonzalo Fonseca,Vida cotidiana,0.007040152137969546
Gonzalo Goette,Vida cotidiana,0.005355499952174705
Julián Serrano,Vida cotidiana,0.008405356389508586
Lionel Ferro,Vida cotidiana,0.0031404438986324668
Lucas Castel,Vida cotidiana,0.011205402318166066
Mariano Bondar,Vida cotidiana,0.009502901563327917
Mica Suárez,Vida cotidiana,0.009575114266945236
Elchuiuical,Humor y parodia,0.00025974025974025974
Gonzalo Fonseca,Humor y parodia,0.008239800959659833
Gonzalo Goette,Humor y parodia,0.002460278991593971
Julián Serrano,Humor y parodia,0.003289888474396268
Lionel Ferro,Humor y parodia,0.0015200029995125794
Lucas Castel,Humor y parodia,0.001842647613939349
Mariano Bondar,Humor y parodia,0.0027741548270279804
Mica Suárez,Humor y parodia,0.0020990943382088027
Elchuiuical,"Fiesta, salidas y consumo",0.003131359373507081
Gonzalo Fonseca,"Fiesta, salidas y consumo",0.006017270159726287
Gonzalo Goette,"Fiesta, salidas y consumo",0.002059940095806104
Julián Serrano,"Fiesta, salidas y consumo",0.005738911211769728
Lionel Ferro,"Fiesta, salidas y consumo",0.001187070091908577
Lucas Castel,"Fiesta, salidas y consumo",0.003957588309856197
Mariano Bondar,"Fiesta, salidas y consumo",0.002654339432912941
Mica Suárez,"Fiesta, salidas y consumo",0.003031281943748119
Elchuiuical,"Escuela, estudios y futuro",0.0016674087406846026
Gonzalo Fonseca,"Escuela, estudios y futuro",0.00026078167115902963
Gonzalo Goette,"Escuela, estudios y futuro",0.0009751446691046252
Julián Serrano,"Escuela, estudios y futuro",0.0033294770891021353
Lionel Ferro,"Escuela, estudios y futuro",0.00013422818791946307
Lucas Castel,"Escuela, estudios y futuro",0.0003974832385918542
Mariano Bondar,"Escuela, estudios y futuro",0.0006959965914257219
Mica Suárez,"Escuela, estudios y futuro",0.00013986013986013986
Elchuiuical,Cuerpo e imagen corporal,0.0007152338323815403
Gonzalo Fonseca,Cuerpo e imagen corporal,0.0007974024012685947
Gonzalo Goette,Cuerpo e imagen corporal,0.0027138562088216103
