ID,Label,Type
Elchuiuical,Elchuiuical,Youtuber
Gonzalo Fonseca,Gonzalo Fonseca,Youtuber
Gonzalo Goette,Gonzalo Goette,Youtuber
Julián Serrano,Julián Serrano,Youtuber
Lionel Ferro,Lionel Ferro,Youtuber
Lucas Castel,Lucas Castel,Youtuber
Mariano Bondar,Mariano Bondar,Youtuber
Mica Suárez,Mica Suárez,Youtuber
Identidad y subjetividad,Identidad y subjetividad,Tema
Extimidad e intimidad compartida,Extimidad e intimidad compartida,Tema
Familia y vínculos afectivos,Familia y vínculos afectivos,Tema
Amistad y comunidad,Amistad y comunidad,Tema
"Amor, pareja y sexualidad","Amor, pareja y sexualidad",Tema
Vida cotidiana,Vida cotidiana,Tema
Humor y parodia,Humor y parodia,Tema
"Fiesta, salidas y consumo","Fiesta, salidas y consumo",Tema
"Escuela, estudios y futuro","Escuela, estudios y futuro",Tema
Cuerpo e imagen corporal,Cuerpo e imagen corporal,Tema
Tecnología y cultura digital,Tecnología y cultura digital,Tema
Viajes y experiencias,Viajes y experiencias,Tema
Crítica social y conflicto,Crítica social y conflicto,Tema
"Emociones, motivación y autoayuda","Emociones, motivación y autoayuda",Tema
Performance y teatralidad,Performance y teatralidad,Tema
"Música, danza y expresión artística","Música, danza y expresión artística",Tema
Glocalidad y referencias culturales,Glocalidad y referencias culturales,Tema
"Lenguaje, dialecto y léxico juvenil","Lenguaje, dialecto y léxico juvenil",Tema
